property_id,property_category,property_title,property_type,seller_name,seller_id,seller_type,open_viewing,no_of_photos,available_from,lease_units,available_for,area,county,latitude,longitude,furnished,bathrooms,beds,facility,environment,published_date,page_name,platform,currency,price_frequency,price,Parking,Cable Television,Dryer,Garden / Patio / Balcony,Washing Machine,Serviced Property,Pets Allowed,Wheelchair Access,Central Heating,Microwave,Smoking,Dishwasher,House Alarm,Internet
1764424,rental,"Hazelwood Student Village, Northwood, Santry, Dublin 9",apartment,,,private,no,8,2017-09-18,months,9,Santry,Dublin,53.400398290143,-6.2583553791046,yes,1,1,"Parking,Central Heating,House Alarm,Washing Machine,Dryer,Dishwasher,Microwave,Wheelchair Access,Internet",prod,2017-09-08,PropertyDetails,desktop,€,weekly,891,True,,True,,True,,,True,True,True,,True,True,True
1754542,rental,"Millrace Road, Phoenix Park Racecourse, Castleknock, Dublin 15",apartment,SATIS PROPERTY,4274,agent,no,1,2017-08-18,months,12,Castleknock,Dublin,53.372345744186,-6.3350129127502,yes,2,2,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-08,PropertyDetails,desktop,€,monthly,1850,True,True,True,True,True,,,,True,True,,True,True,True
1762057,rental,"Radcliff Hall, St John's Road, Sandymount, Dublin 4",apartment,Sherry FitzGerald Lettings,114,agent,no,27,2017-10-02,months,12,Sandymount,Dublin,53.324885688181,-6.2080907821655,yes,2,3,"Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Garden / Patio / Balcony",prod,2017-09-08,PropertyDetails,desktop,€,monthly,2950,True,,True,True,True,,,,True,True,,True,,
1761505,rental,"Slaney House, Custom House Square, IFSC, Dublin 1",apartment,Sherry FitzGerald Lettings,114,agent,no,38,2017-08-11,months,12,IFSC,Dublin,53.349498174,-6.241229706,yes,2,2,"Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Garden / Patio / Balcony",prod,2017-09-08,PropertyDetails,desktop,€,monthly,3300,True,,True,True,True,,,,True,True,,True,,
1765632,rental,"Anglesea Lodge, Anglesea Road, Ballsbridge, Dublin 4",apartment,,,private,no,14,2017-10-03,months,0,Ballsbridge,Dublin,53.32270346575,-6.2304282188416,yes,1,2,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-08,PropertyDetails,desktop,€,monthly,3400,True,True,True,True,True,True,,,True,True,,True,True,True
1663263,rental,"Serviced Apartments in Malahide, Malahide, Co. Dublin",apartment,Murphy Moore Property Services Ltd.,64,agent,no,19,2017-08-18,months,0,Malahide,Dublin,53.4470841,-6.1534658,yes,2,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-08,PropertyDetails,desktop,€,weekly,3500,True,True,True,True,True,True,,,True,True,,True,,True
1771435,rental,"131 Parklands, Northwood, Santry, Dublin 9",apartment,MoveHome.ie Estate & Letting Agent,3658,agent,no,5,2017-09-15,months,12,Santry,Dublin,53.406749067076,-6.2511456012726,yes,1,2,"Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Microwave",prod,2017-09-08,PropertyDetails,desktop,€,monthly,1400,True,,True,,True,,,,True,True,,True,,
1770253,rental,"Lymewood Mews, Northwood, Santry, Santry, Dublin 9",apartment,MoveHome.ie Estate & Letting Agent,3658,agent,no,6,2017-09-10,months,12,Santry,Dublin,53.4046906,-6.2527301,yes,1,1,"Parking,Central Heating,Washing Machine,Dryer,Microwave",prod,2017-09-08,PropertyDetails,desktop,€,monthly,1350,True,,True,,True,,,,True,True,,,,
1769808,rental,"The Gasworks, Barrow Street, Dublin 4, Dublin 4",apartment,,,private,no,23,2017-09-03,months,0,Dublin 4,Dublin,53.338926055791,-6.2349772453308,yes,2,2,"Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Wheelchair Access,Internet",prod,2017-09-07,PropertyDetails,desktop,€,weekly,3587,,True,True,,True,,,True,True,True,,True,,True
1769838,rental,"Annfield Drive, Diswellstown Road, Carpenterstown, Castleknock, Dublin 15",apartment,,,private,no,14,2017-09-10,months,12,Castleknock,Dublin,53.37268409345,-6.3685940588005,yes,2,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Microwave,Garden / Patio / Balcony",prod,2017-09-07,PropertyDetails,desktop,€,monthly,1430,True,True,True,True,True,,,,True,True,,,,
